probe,true_speaker,predicted,score,dtw_cost,cos_sim,peak_corr,correct
dataset/carol/carol_1.wav,carol,alice,0.6619141617525433,82.85453804138443,0.9957564827046108,0.6088264822286383,False
dataset/carol/carol_2.wav,carol,carol,0.6614103161645362,100.45812264501257,0.9951690018053208,0.6135203009097522,True
dataset/carol/carol_3.wav,carol,carol,0.6558127215627992,118.40934046874726,0.9925457259224143,0.5777291973362776,True
dataset/carol/carol_4.wav,carol,carol,0.6687632105393662,129.58349778095132,0.9885496988046788,0.7333601061430317,True
dataset/carol/carol_5.wav,carol,bob,0.6555253013399611,95.14195927156076,0.9935765009381461,0.5625901502382894,False
dataset/alice/alice_1.wav,alice,carol,0.6687160642698352,135.93040704390287,0.9909487836842893,0.7195590011191645,False
dataset/alice/alice_2.wav,alice,alice,0.6768409589129374,39.64937731192773,0.9996799525444422,0.6965280053376722,True
dataset/alice/alice_3.wav,alice,carol,0.6590077759635424,132.11316557676275,0.9897796607226838,0.6288625805392242,False
dataset/alice/alice_4.wav,alice,carol,0.6690317359344891,62.499715125753205,0.9981677730227615,0.6540664147723185,False
dataset/alice/alice_5.wav,alice,carol,0.6693259559261354,108.81691218829614,0.9946654353693493,0.6979487504194419,False
dataset/bob/bob_1.wav,bob,alice,0.6649617086729427,60.62976059217838,0.9982781414293944,0.6112704569776335,False
dataset/bob/bob_2.wav,bob,carol,0.6644310653097528,114.09497130703943,0.9922999659149053,0.6644454268952564,False
dataset/bob/bob_3.wav,bob,alice,0.65720457389988,82.35622251381244,0.9947390477704099,0.5676213377870795,False
dataset/bob/bob_4.wav,bob,alice,0.6651704944517324,60.16565084775506,0.9982622184422509,0.6130844977928366,False
dataset/bob/bob_5.wav,bob,alice,0.6601250772723614,51.26599330075668,0.9992672147018496,0.5482487858455461,False
